pathway,overlap_genes,overlap_count,pathway_size,enrichment_ratio,pvalue,rank,fdr
HP_BILATERAL_PTOSIS,"ABCC8, INS, KCNJ11, GCK, PDX1",5,50,117.65,4.809476906900208e-10,53,2.5971175297261122e-08
HP_NEOPLASM_OF_THE_LIVER,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,127,55.58,6.802362736986318e-10,54,3.605252250602749e-08
GOBP_PEPTIDE_TRANSPORT,"ABCC8, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1",7,249,33.07,7.453331169403646e-10,55,3.878442510333315e-08
HP_TYPE_I_DIABETES_MELLITUS,"ABCC8, INS, KCNJ11, GCK, EIF2AK3",5,56,105.04,8.644765533138975e-10,56,4.418092670686384e-08
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,"DDIT3, XBP1, ERN1, ATF4, PDX1, EIF2AK3, HSPA5",7,256,32.17,9.042962138001508e-10,57,4.5405188840281257e-08
HP_ABNORMAL_HEMOGLOBIN,"ABCC8, INS, KCNJ11, GCK, PDX1",5,57,103.2,9.471246907331138e-10,58,4.673570456686503e-08
GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,"DDIT3, ATF4, HSPA5, EIF2AK3",4,18,261.44,1.0848168163063584e-09,59,5.2622808953708435e-08
HP_GLUCOSE_INTOLERANCE,"ABCC8, INS, KCNJ11, PDX1, MAFA, GCK, EIF2AK3, SLC2A2",8,447,21.06,1.191990405450334e-09,60,5.685794233998094e-08
HP_ABNORMALITY_OF_THE_METOPIC_SUTURE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,62,94.88,1.46008043922051e-09,61,6.85041019188377e-08
HP_ABNORMAL_INSULIN_LEVEL,"ABCC8, INS, KCNJ11, MAFA, GCK, PDX1",6,151,46.75,1.9370318203659225e-09,62,8.941588822398823e-08
GOBP_AMIDE_TRANSPORT,"ABCC8, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1",7,290,28.4,2.1534406878615073e-09,63,9.782773410570846e-08
GOBP_HORMONE_TRANSPORT,"ABCC8, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1",7,293,28.11,2.31297366492732e-09,64,1.034332910784686e-07
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,"DDIT3, XBP1, ERN1, ATF4, INS, PDX1, EIF2AK3",7,295,27.92,2.424830081145007e-09,65,1.0676713372672323e-07
WP_TYPE_II_DIABETES_MELLITUS,"KCNJ11, MAFA, SLC2A2, PDX1",4,22,213.9,2.5878868559528236e-09,68,1.0891959090789678e-07
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,"DDIT3, XBP1, ERN1, ATF4, EIF2AK3, HSPA5",6,158,44.68,2.545273217862373e-09,66,1.1037230226548653e-07
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,"DDIT3, ATF4, HSPA5, EIF2AK3",4,22,213.9,2.5878868559528236e-09,67,1.1054525644383554e-07
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,"DDIT3, XBP1, ERN1, ATF4, INS, EIF2AK3",6,160,44.12,2.745538524457449e-09,69,1.1388016314488723e-07
GOBP_REGULATION_OF_HORMONE_LEVELS,"ALDH1A3, ABCC8, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1",8,499,18.86,2.833172276622094e-09,70,1.1583627222417762e-07
HP_ABNORMALITY_OF_THE_PANCREAS,"ABCC8, INS, KCNJ11, PDX1, MAFA, GCK, EIF2AK3",7,304,27.09,2.987040685604875e-09,71,1.2040718932677679e-07
GOBP_RESPONSE_TO_NITROGEN_COMPOUND,"ABCC8, XBP1, ATF4, INS, KCNJ11, GCK, NKX6-1, PDX1, SOX9, HSPA5",10,1108,10.62,3.5622790063913482e-09,72,1.416005905040561e-07
GOBP_INSULIN_SECRETION,"ABCC8, KCNJ11, NKX6-1, MAFA, GCK, PDX1",6,179,39.43,5.38927036284459e-09,73,2.1128892847207148e-07
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,"ABCC8, INS, KCNJ11, NKX6-1, GCK, PDX1",6,183,38.57,6.153270988904484e-09,74,2.3798191311141397e-07
GOBP_CELL_CELL_SIGNALING,"DDIT3, ABCC8, IAPP, ATF4, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1, SOX9",11,1633,7.92,8.118910424298567e-09,75,3.0981762179123333e-07
GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION,"ABCC8, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1",7,359,22.94,9.43757776854515e-09,76,3.5539931017863444e-07
HP_REDUCED_C_PEPTIDE_LEVEL,"KCNJ11, GCK, INS",3,6,588.24,1.0185468714599798e-08,77,3.785819670283717e-07
HP_COMA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,92,63.94,1.0930434664992389e-08,79,3.959861267241546e-07
GOBP_RESPONSE_TO_MONOSACCHARIDE,"XBP1, ERN1, NKX6-1, MAFA, GCK, PDX1",6,201,35.12,1.0792337885940001e-08,78,3.9599578243026007e-07
HP_KETOACIDOSIS,"KCNJ11, INS, ABCC8, EIF2AK3",4,31,151.8,1.1079607204459982e-08,80,3.9637294773955584e-07
REACTOME_PERK_REGULATES_GENE_EXPRESSION,"DDIT3, ATF4, HSPA5, EIF2AK3",4,32,147.06,1.2655818917912429e-08,82,4.41718948086163e-07
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,"DDIT3, PDX1, XBP1, EIF2AK3",4,32,147.06,1.2655818917912429e-08,81,4.4717226843290575e-07
HP_ABNORMAL_PANCREAS_MORPHOLOGY,"ABCC8, INS, KCNJ11, GCK, PDX1",5,101,58.24,1.752617012249567e-08,83,6.043361312118387e-07
HP_ABNORMAL_GLUCOSE_HOMEOSTASIS,"ABCC8, INS, KCNJ11, PDX1, MAFA, GCK, EIF2AK3, SLC2A2",8,641,14.68,2.0069312968608942e-08,84,6.837901632876047e-07
GOBP_RESPONSE_TO_CARBOHYDRATE,"XBP1, ERN1, NKX6-1, MAFA, GCK, PDX1",6,227,31.1,2.2310429610722723e-08,85,7.51205288775158e-07
GOBP_REGULATION_OF_HORMONE_SECRETION,"ABCC8, INS, KCNJ11, NKX6-1, GCK, PDX1",6,234,30.17,2.6734708757488486e-08,86,8.897062379526982e-07
HP_ABNORMAL_RENAL_PHYSIOLOGY,"ABCC8, INS, KCNJ11, PDX1, GCK, EIF2AK3, SOX9, SLC2A2",8,673,13.98,2.9308127239583902e-08,87,9.641363236745876e-07
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,"XBP1, ERN1, ATF4, EIF2AK3, HSPA5",5,113,52.06,3.0871423301184486e-08,88,1.0040228805453408e-06
GOBP_CARBOHYDRATE_HOMEOSTASIS,"ABCC8, XBP1, ERN1, INS, GCK, PDX1",6,247,28.58,3.6877865306284594e-08,89,1.1858927023211967e-06
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS,"DDIT3, XBP1, ERN1, ATF4, INS, PDX1, EIF2AK3, HSPA5",8,695,13.54,3.761771933014459e-08,90,1.1962434746985979e-06
HP_ARTHROGRYPOSIS_MULTIPLEX_CONGENITA,"ABCC8, INS, KCNJ11, GCK, PDX1",5,120,49.02,4.176826965638353e-08,92,1.2993563886583659e-06
GOBP_REGULATION_OF_PROTEIN_SECRETION,"ABCC8, INS, KCNJ11, NKX6-1, GCK, PDX1",6,252,28.01,4.154183760723803e-08,91,1.3065136179331345e-06
HP_DIABETIC_KETOACIDOSIS,"KCNJ11, INS, ABCC8",3,9,392.16,4.2711615658088555e-08,93,1.314415527026338e-06
HP_RETINOPATHY,"ABCC8, INS, KCNJ11, GCK, PDX1",5,122,48.22,4.538495308369158e-08,94,1.3818269758034607e-06
GOBP_SIGNAL_RELEASE,"ABCC8, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1",7,453,18.18,4.6674088908512385e-08,96,1.3914712755850256e-06
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,"DDIT3, XBP1, ERN1, ATF4, INS, PDX1, MAFA, NKX6-1, EIF2AK3, SOX9, HSPA5",11,1928,6.71,4.64339796043009e-08,95,1.3988847329211493e-06
HP_ABNORMAL_CIRCULATING_HORMONE_CONCENTRATION,"ABCC8, INS, KCNJ11, MAFA, GCK, PDX1, SOX9",7,458,17.98,5.0315521493848744e-08,97,1.4845672424267537e-06
GOBP_PROGRAMMED_CELL_DEATH,"DDIT3, ALDH1A3, IAPP, ERN1, XBP1, INS, ATF4, PDX1, EIF2AK3, SOX9, HSPA5",11,1950,6.64,5.2276477938302634e-08,99,1.5112654531254763e-06
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,"DDIT3, ATF4, HSPA5, EIF2AK3",4,45,104.58,5.208385137449033e-08,98,1.5210610472835851e-06
HP_ABNORMAL_BLOOD_GLUCOSE_CONCENTRATION,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,264,26.74,5.4754373892045375e-08,100,1.5670701807903387e-06
WP_ALZHEIMERS_DISEASE,"DDIT3, XBP1, ERN1, ATF4, INS, EIF2AK3",6,266,26.54,5.726113004130275e-08,103,1.5910811085262956e-06
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT,"PDX1, SOX9, NKX6-1, EIF2AK3",4,46,102.3,5.701452501472535e-08,102,1.5997604960014113e-06
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS,"DDIT3, XBP1, ATF4, INS, PDX1, MAFA, GCK, NKX6-1, EIF2AK3, SOX9, HSPA5",11,1966,6.58,5.6931514704559015e-08,101,1.6132474760836427e-06
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION,"ATF4, HSPA5, XBP1, EIF2AK3",4,50,94.12,8.02961424055123e-08,104,2.2096880727363098e-06
ZHOU_PANCREATIC_BETA_CELL,"NKX6-1, MAFA, PDX1",3,11,320.86,8.380973084266933e-08,106,2.262862732752072e-06
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,"DDIT3, ATF4, HSPA5",3,11,320.86,8.380973084266933e-08,105,2.28441380639733e-06
HP_NEOPLASM_OF_THE_GASTROINTESTINAL_TRACT,"ABCC8, INS, KCNJ11, GCK, PDX1, SLC2A2",6,293,24.09,1.0150335938235406e-07,107,2.7149777060962366e-06
HP_DOWNTURNED_CORNERS_OF_MOUTH,"ABCC8, INS, KCNJ11, GCK, PDX1",5,145,40.57,1.0782397528519429e-07,108,2.8573353450576486e-06
GOBP_ER_OVERLOAD_RESPONSE,"DDIT3, HSPA5, EIF2AK3",3,12,294.12,1.1168762985366014e-07,109,2.932568776524544e-06
GOBP_REGULATION_OF_INSULIN_SECRETION,"ABCC8, KCNJ11, NKX6-1, GCK, PDX1",5,147,40.02,1.1546272971686744e-07,110,3.004130294997042e-06
HP_KETOSIS,"KCNJ11, INS, ABCC8, EIF2AK3",4,57,82.56,1.372226276420209e-07,112,3.5065282170666416e-06
HP_CONGENITAL_CONTRACTURE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,152,38.7,1.3645018774742772e-07,111,3.5182021381363795e-06
GOBP_CELLULAR_RESPONSE_TO_MANGANESE_ION,"ATF4, HSPA5, EIF2AK3",3,13,271.49,1.4511767717278348e-07,113,3.6754583368894365e-06
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS,"ABCC8, XBP1, ERN1, GCK, PDX1",5,155,37.95,1.5042645713779722e-07,114,3.776495792354172e-06
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,"XBP1, ERN1, ATF4, INS, GCK, NKX6-1, PDX1, SOX9, HSPA5",9,1199,8.83,1.5228637588063265e-07,115,3.7899444153945274e-06
GOBP_REGULATION_OF_CELL_DEATH,"DDIT3, ALDH1A3, IAPP, XBP1, INS, ATF4, PDX1, EIF2AK3, SOX9, HSPA5",10,1643,7.16,1.5484026717157986e-07,116,3.82028314349191e-06
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,"DDIT3, ABCC8, XBP1, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1, HSPA5",10,1652,7.12,1.6305539482610885e-07,119,3.921550756238012e-06
HP_PERIPHERAL_AXONAL_NEUROPATHY,"ABCC8, INS, KCNJ11, GCK, PDX1",5,157,37.47,1.6035834549054774e-07,117,3.922611835845706e-06
GOBP_CHEMICAL_HOMEOSTASIS,"DDIT3, ABCC8, IAPP, ERN1, XBP1, INS, ATF4, GCK, PDX1",9,1208,8.77,1.6237041550610408e-07,118,3.938170586258219e-06
HP_GENERALIZED_MYOCLONIC_SEIZURE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,169,34.81,2.3142441892675273e-07,122,5.4289892374456256e-06
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,"DDIT3, XBP1, ERN1, ATF4, INS, EIF2AK3",6,336,21.01,2.27660995420558e-07,120,5.429714740780308e-06
HP_HYPOKETOTIC_HYPOGLYCEMIA,"KCNJ11, GCK, ABCC8",3,15,235.29,2.3062663409724578e-07,121,5.454986998234028e-06
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,"DDIT3, XBP1, INS, EIF2AK3, PDX1",5,171,34.4,2.4537235588131195e-07,123,5.709395792945649e-06
HP_NEOPLASM,"ABCC8, INS, KCNJ11, MAFA, GCK, PDX1, SOX9, SLC2A2",8,899,10.47,2.7351443135877637e-07,125,6.262386420390544e-06
GOBP_APOPTOTIC_SIGNALING_PATHWAY,"DDIT3, XBP1, ERN1, ATF4, INS, PDX1, EIF2AK3",7,588,14.01,2.75756927284093e-07,126,6.263621634024399e-06
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,"DDIT3, XBP1, ERN1, ATF4, PDX1, MAFA, NKX6-1, EIF2AK3, SOX9, HSPA5",10,1745,6.74,2.735000285006936e-07,124,6.312557109427299e-06
GOBP_CELLULAR_HOMEOSTASIS,"DDIT3, ABCC8, IAPP, ERN1, XBP1, ATF4, GCK, PDX1",8,912,10.32,3.0528970295010614e-07,127,6.879835668056722e-06
HP_CONTRACTURES_OF_THE_JOINTS_OF_THE_LOWER_LIMBS,"ABCC8, INS, KCNJ11, GCK, PDX1",5,179,32.86,3.0797730733819586e-07,128,6.886180106264973e-06
HP_FASTING_HYPOGLYCEMIA,"KCNJ11, ABCC8, SLC2A2",3,17,207.61,3.4431088385619564e-07,129,7.638897283693271e-06
GOBP_REGULATION_OF_SECRETION,"ABCC8, XBP1, INS, KCNJ11, GCK, NKX6-1, PDX1",7,609,13.52,3.496735898398807e-07,130,7.69819857016722e-06
GOBP_SECRETION,"ABCC8, XBP1, INS, KCNJ11, MAFA, GCK, NKX6-1, PDX1",8,930,10.12,3.545113219750972e-07,131,7.745125217501742e-06
GOBP_HOMEOSTATIC_PROCESS,"DDIT3, ABCC8, IAPP, ERN1, XBP1, INS, ATF4, GCK, PDX1, SOX9",10,1810,6.5,3.85892989170447e-07,132,8.366861628831966e-06
HP_PERIPHERAL_AXONAL_DEGENERATION,"ABCC8, INS, KCNJ11, GCK, PDX1",5,189,31.12,4.03351824848166e-07,133,8.679646035454519e-06
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,"DDIT3, ABCC8, XBP1, ERN1, INS, ATF4, PDX1, EIF2AK3, HSPA5",9,1364,7.76,4.580876954199415e-07,134,9.783932718596065e-06
REACTOME_REGULATION_OF_INSULIN_SECRETION,"KCNJ11, INS, ABCC8, SLC2A2",4,78,60.33,4.901352760680351e-07,138,1.0164979421063162e-05
HP_HYPOGLYCEMIC_COMA,"KCNJ11, GCK, ABCC8",3,19,185.76,4.901278555464681e-07,137,1.0239021332656873e-05
GOBP_RESPONSE_TO_STARVATION,"DDIT3, XBP1, ATF4, EIF2AK3, HSPA5",5,196,30.01,4.830144809530857e-07,135,1.0239906996205417e-05
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,"ERN1, HSPA5, XBP1",3,19,185.76,4.901278555464681e-07,136,1.0314308254220526e-05
HP_TYPE_II_DIABETES_MELLITUS,"ABCC8, KCNJ11, GCK, PDX1, SLC2A2",5,198,29.71,5.079209752977034e-07,139,1.0458056340302353e-05
GOBP_GLUCOSE_METABOLIC_PROCESS,"INS, ATF4, KCNJ11, GCK, PDX1",5,201,29.27,5.471765736684112e-07,140,1.1185852527421378e-05
HP_MYOCLONIC_SEIZURE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,202,29.12,5.607821355467964e-07,141,1.138268419812008e-05
GOBP_PANCREAS_DEVELOPMENT,"PDX1, SOX9, NKX6-1, EIF2AK3",4,81,58.1,5.707864516767637e-07,142,1.1504160737316181e-05
HP_ABNORMALITY_OF_THE_FONTANELLES_OR_CRANIAL_SUTURES,"ABCC8, INS, KCNJ11, GCK, PDX1, SOX9",6,398,17.74,6.148169416481526e-07,143,1.2304937671307783e-05
HP_GENERALIZED_ONSET_MOTOR_SEIZURE,"ABCC8, INS, KCNJ11, GCK, PDX1",5,208,28.28,6.481454375836018e-07,144,1.2881890571974085e-05
HP_ABNORMALITY_OF_THE_URINARY_SYSTEM_PHYSIOLOGY,"ABCC8, INS, KCNJ11, PDX1, GCK, EIF2AK3, SOX9, SLC2A2",8,1017,9.25,7.010254889783937e-07,145,1.3836792754870088e-05
GOBP_RESPONSE_TO_MANGANESE_ION,"ATF4, HSPA5, EIF2AK3",3,22,160.43,7.777176873475249e-07,147,1.5141687218970179e-05
HP_HYPOGLYCEMIC_SEIZURES,"KCNJ11, GCK, ABCC8",3,22,160.43,7.777176873475249e-07,146,1.5245397405401483e-05
