pert_iname,quality_score,moa,canonical_smiles,pert_id,cell_id,pert_dose,pert_time,name_relevance,connectivity_score
DG-041,1.0,,Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(\C=C\C(=O)NS(=O)(=O)c3cc(Cl)c(Cl)s3)cc(F)cc12,BRD-K33272502,A375,40.0,24,0,0.7
D-4476,1.0,,NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCCOc2c1,BRD-K09132007,NPC,10.0,24,0,0.7
DCPIB,1.0,,CCCCC1(Cc2cc(OCCCC(O)=O)c(Cl)c(Cl)c2C1=O)C1CCCC1,BRD-A39255369,MCF7,10.0,6,0,0.7
BRD-K29097491,1.0,,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCC2)Oc3cc(C#Cc4cccnc4)ccc3S1(=O)=O,BRD-K29097491,PC3,10.0519,24,0,0.7
D-609,1.0,,SC(=S)OC1CC2CC1C1CCCC21,BRD-A77118605,A549,10.0,6,0,0.7
D-64131,1.0,,COc1ccc2[nH]c(cc2c1)C(=O)c1ccccc1,BRD-K26997899,MCF7,10.0,24,0,0.7
DAC-003,1.0,,Cc1cccc2c1[nH]c1nc(N\N=C\c3ccc(O)c(O)c3)nnc21,BRD-K41887956,MCF7,0.2,24,0,0.7
D-64406,1.0,,Oc1ccc2[nH]c(cc2c1)C(=O)c3cc4ccccc4[nH]3,BRD-K27665173,HA1E,10.0,24,0,0.7
DAC-004,1.0,,COc1ccc(OC)c(c1)N2C(=O)C(=C(N3CCCCC3)C2=O)Cl,BRD-K73201151,MCF7,0.2,24,0,0.7
DC-45-A2,1.0,,COC(OC)[C@]12O[C@@H]3[C@H](O1)[C@@](O)(Oc1c3c(C)cc3c(OC)c4[C@@H](O)C[C@H](O)C(=O)c4c(O)c13)[C@@]21CO1,BRD-K79983625,A375,11.1,24,0,0.7
DAC-009,1.0,,CCC(=O)C1(CC(C)(C)OC1=O)Sc1nc2ccccc2[nH]1,BRD-A72163687,MCF7,0.2,24,0,0.7
BRD-K29033329,1.0,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCCCC2)OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc3C1=O,BRD-K29033329,PC3,10.0007,24,0,0.7
DAU-5884,1.0,,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)N1Cc2ccccc2NC1=O,BRD-K31633810,HA1E,10.0,24,0,0.7
DAC-012,1.0,,COc1ccc(CNc2cc(C)ccc2C)c(OC)c1,BRD-K86350435,MCF7,0.2,24,0,0.7
DAPT-GSI-IX,1.0,,CC(NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC(C(=O)OC(C)(C)C)c2ccccc2,BRD-A68929948,HA1E,10.0,24,0,0.7
DAC-013,1.0,,CC(=O)Nc1cccc(c1)c2csc(Nc3cc(C)ccn3)n2,BRD-K90020768,MCF7,0.2,24,0,0.7
zuclopenthixol,1.0,,OCCN1CCN(CC\C=C2\c3ccccc3Sc3ccc(Cl)cc23)CC1,BRD-K28761384,PC3,10.0,24,0,0.7
CV-1808,1.0,,Nc1nc(Nc2ccccc2)nc3n(cnc13)C4OC(CO)C(O)C4O,BRD-A64933752,A375,10.0,24,0,0.7
CVF-SUMO-14,1.0,,Fc1ccc(cc1)C(=O)C(CN1CCCCC1)c1ccccc1,BRD-A93393712,MCF7,10.0,6,0,0.7
CP-94253,1.0,,CCCOc1ccc2[nH]cc(C3=CCNCC3)c2n1,BRD-K33860217,HA1E,10.0,24,0,0.7
CMPD-1,1.0,,Oc1ccc(NC(=O)CCCc2ccc(cc2)-c2ccccc2F)cc1,BRD-K54095730,A375,10.0,24,0,0.7
CNQX,1.0,,Oc1nc2cc(C#N)c(cc2nc1O)[N+](=O)[O-],BRD-K53545112,A375,10.0,24,0,0.7
CO-101244,1.0,,Cc1ccc(CC2(O)CCN(CCOc3ccc(O)cc3)CC2)cc1,BRD-K55677650,A375,10.0,24,0,0.7
CO-102862,1.0,,NC(=O)NN=Cc1ccc(Oc2ccc(F)cc2)cc1,BRD-K08890269,HA1E,10.0,24,0,0.7
COL-3,1.0,,NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O,BRD-A59431241,JURKAT,0.16,24,0,0.7
COT-10b,1.0,,NC(=C)c1cc2c(cnc(N)c2s1)-c1cccc(c1)-c1ccccc1,BRD-K18190982,A549,44.4,6,0,0.7
CP-466722,1.0,,COc1cc2ncnc(-n3nc(nc3N)-c3ccccn3)c2cc1OC,BRD-K15592317,MCF7,10.0,6,0,0.7
BRD-K29253960,1.0,,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2F)Oc3ncc(cc3C1=O)C4=CCCCC4,BRD-K29253960,VCAP,10.0,24,0,0.7
CP-55940,1.0,,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,BRD-A03816571,HA1E,10.0,24,0,0.7
CP-724714,1.0,,COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,BRD-K76908866,MCF7,10.0,6,0,0.7
BRD-K29251608,1.0,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccncc2)Oc3ccc(NC(=O)Cc4cn(C)c5ccccc45)cc3C1=O,BRD-K29251608,VCAP,5.02,24,0,0.7
CP-93129,1.0,,O=c1ccc2[nH]cc(C3=CCNCC3)c2[nH]1,BRD-K81876028,HA1E,10.0,24,0,0.7
BRD-K29211776,1.0,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(F)cc2)Oc3ncc(C#Cc4cccnc4)cc3C1=O,BRD-K29211776,VCAP,10.0,24,0,0.7
CVF-SUMO-13,1.0,,CCN(CC)CC(C(=O)c1ccc(F)cc1)c1ccccc1,BRD-A06929388,A549,10.0,6,0,0.7
CPCCOEt,1.0,,CCOC(=O)C12CC2C(=NO)c3ccccc3O1,BRD-A18202423,HA1E,10.0,24,0,0.7
CS-110266,1.0,,C1CCN(CC1)C1(CCCCC1)c1cc2ccccc2s1,BRD-K15519488,NPC,10.0,6,0,0.7
CS-1657,1.0,,Nc1ccc2C(=O)NC(=O)c3cccc1c32,BRD-K50214219,A375,10.0,24,0,0.7
CS-2092524,1.0,,O=C(Nc1ccc2[nH]ccc2c1)c3cccs3,BRD-K63488275,A549,10.0,6,0,0.7
BRD-K29160485,1.0,,CS(=O)(=O)C(\C#N)=C\c1cccn1S(=O)(=O)c1ccc(cc1)[N+]([O-])=O,BRD-K29160485,A549,10.0,6,0,0.7
CT-200783,1.0,,COc1cc(cc(OC)c1OCCN1CCOCC1)\C=C\C(=O)N1CCCCC1=O,BRD-K02822062,A375,10.0,24,0,0.7
BRD-K29144516,1.0,,O[C@@H]1COC[C@H]2O[C@@H](CC(=O)Nc3nccs3)CC[C@@H]2N(Cc2ccc(Oc3ccccc3)cc2)C1,BRD-K29144516,VCAP,10.079,24,0,0.7
BRD-K29143341,1.0,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4cccc5ccccc45)cc3C1=O,BRD-K29143341,PC3,10.0306,24,0,0.7
BRD-K29140223,1.0,,Clc1cccc(Nc2nc(C#N)nc3n(cnc23)C4CCCC4)c1,BRD-K29140223,A375,10.0,24,0,0.7
BRD-K29138830,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccccc2)Oc3c(NC(=O)c4ccncc4)cccc3C1=O,BRD-K29138830,A549,10.0,6,0,0.7
BRD-K28934562,1.0,,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C[C@]31CCN(Cc2cccc(F)c2)CC1)C(=O)C1CCOCC1,BRD-K28934562,A375,5.0,24,0,0.7
CVF-SUMO-11,1.0,,Fc1ccc(cc1)C(=O)C(CN1CCCC1)c1ccccc1,BRD-A50774520,MCF7,10.0,6,0,0.7
DH-97,1.0,,CCCCC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12,BRD-K06014311,HA1E,10.0,24,0,0.7
DM-161,1.0,,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C2=O)cc1,BRD-K95212245,A375,10.0,24,0,0.7
DL-PDMP,1.0,,CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c2ccccc2,BRD-K05653692,A549,64.0,24,0,0.7
BRD-K28925416,1.0,,CC(C)(O)CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c3C(=O)[C@H](O)[C@H](Oc13)c4ccc(O)cc4,BRD-K28925416,VCAP,10.0,24,0,0.7
EI-273,1.0,,COCc1cc(O)c(O)c(O)c1c2c(O)c(O)c(O)cc2COC,BRD-K56064827,A549,10.0,6,0,0.7
EI-346-erlotinib-analog,1.0,,restricted,BRD-U08759356,A549,10.0,6,0,0.7
EMD-386088,1.0,,Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1,BRD-K47659338,MCF7,10.0,6,0,0.7
BRD-K28680267,1.0,,COC(=O)c1cc2c(cn1)[nH]c3ccccc32,BRD-K28680267,HA1E,10.0,24,0,0.7
EMD-41000,1.0,,COc1cc(SC)ccc1c2nc3ccncc3[nH]2,BRD-K89271983,HA1E,10.0,24,0,0.7
EMD-66684,1.0,,CCCCc1nc2ccn(CC(=O)N(C)C)c(=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1,BRD-K88759641,HA1E,10.0,24,0,0.7
EMF-BCA1-57,1.0,,COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]2Oc3c(NC(=O)Nc4cccc5ccccc45)cccc3C(=O)N(C[C@H]2C)[C@@H](C)CO,BRD-K64610608,A549,10.0,6,0,0.7
EMF-BCA1-60,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc3c(NC(=O)Nc4cccc5ccccc45)cccc3C1=O,BRD-K68437527,A549,10.0,6,0,0.7
BRD-K28649955,1.0,,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)N(C)C,BRD-K28649955,VCAP,4.99,24,0,0.7
EMF-BCA1-64,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc3OCCOc3c2)Oc4c(NC(=O)Nc5cccc6ccccc56)cccc4C1=O,BRD-K11540476,A549,10.0,6,0,0.7
EMF-bca1-16,1.0,,[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2cccc(NC(=O)c3cc(ccc3Cl)[N+](=O)[O-])n2,BRD-K50234570,MCF7,10.0,6,0,0.7
EMF-csc-9,1.0,,Cc1ccccc1NCC(=O)N\N=C\c1ccc[nH]1,BRD-K01712134,MCF7,10.0,24,0,0.7
EMF-sumo1-1,1.0,,Fc1ccccc1C(=O)N2CC(=O)Nc3ccc(Cl)cc3C2c4ccccc4,BRD-A97833537,A549,10.0,6,0,0.7
EMF-sumo1-10,1.0,,CCCCC(O)(C(CN1CCOCC1)c2ccc(Cl)cc2)c3ccc(F)cc3,BRD-A80788753,A549,10.0,6,0,0.7
EMF-sumo1-11,1.0,,Fc1ccc(cc1)C(=O)C(CN2CCOCC2)c3ccccc3,BRD-A77467113,MCF7,10.0,6,0,0.7
BRD-K28615450,1.0,,COc1ccc(NC(=O)Nc2ccc3O[C@@H]4[C@@H](C[C@@H](CC(=O)NCc5ccncc5)O[C@H]4CO)c3c2)cc1,BRD-K28615450,PC3,10.1171,24,0,0.7
EMF-sumo1-12,1.0,,[O-][N+](=O)c1ccc(o1)C(=O)OCc2nnc(o2)c3ccccc3,BRD-K02421873,A549,10.0,6,0,0.7
EMF-sumo1-2,1.0,,[O-][N+](=O)c1cc(ccc1S(=O)CC(=O)Oc2ccc(Cl)cc2)C(F)(F)F,BRD-A93893742,A549,10.0,6,0,0.7
BRD-K28583191,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4,BRD-K28583191,VCAP,10.074,24,0,0.7
EMF-sumo1-3,1.0,,Cn1c(SCC(=O)NN=Cc2ccc(s2)[N+](=O)[O-])nnc1c3ccc(Cl)cc3,BRD-K94018295,A549,10.0,6,0,0.7
EMF-sumo1-39,1.0,,Fc1cccc(c1)C(=O)C(CN1CCOCC1)c1ccccc1,BRD-A83124583,MCF7,10.0,6,0,0.7
EMF-sumo1-4,1.0,,Oc1c(Br)cc(Br)cc1C=NN2CCN(Cc3ccccc3)CC2,BRD-K17343332,A549,10.0,6,0,0.7
EMF-sumo1-5,1.0,,Cc1c(N=Cc2cc(Br)cc(Br)c2O)cccc1C(=O)O,BRD-K14232336,A549,10.0,6,0,0.7
EMF-sumo1-6,1.0,,NC(=O)C1CCN(CC1)C2CC(=O)N(C2=O)c3ccc(F)c(Cl)c3,BRD-A61666925,A549,10.0,6,0,0.7
EMF-sumo1-7,1.0,,Fc1cc(F)c(c(F)c1Cl)S(=O)(=O)NNC(=O)C2(CC3CC4CC(C3)C2)C4,BRD-K49181186,A549,10.0,6,0,0.7
EI-247,1.0,,O[C@H](c1ccc2ccccc2c1)P(O)(O)=O,BRD-K32710582,A549,10.0,6,0,0.7
EI-231,1.0,,OC[C@H]1O[C@H](C(O)[C@H]1O)n2cnc3cc(Cl)c(Cl)cc23,BRD-A74904029,A549,10.0,6,0,0.7
EHNA,1.0,,CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc12,BRD-K27450477,NEU,10.0,24,0,0.7
DNQX,1.0,,Oc1nc2cc([N+](=O)[O-])c(cc2nc1O)[N+](=O)[O-],BRD-K85266041,HA1E,10.0,24,0,0.7
DL-TBOA,1.0,,NC(C(OCc1ccccc1)C(=O)O)C(=O)O,BRD-A05874290,A375,160.0,24,0,0.7
CL-218872,1.0,,Cc1nnc2ccc(nn12)-c1cccc(c1)C(F)(F)F,BRD-K00662280,HA1E,10.0,24,0,0.7
DM-163,1.0,,COCCOC(=O)N(C)C[C@@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,BRD-K06180729,A375,10.0,24,0,0.7
BRD-K28916077,1.0,,CCCc1nn(C)c2nc(=O)n(C)c(=O)c2n1,BRD-K28916077,A549,10.0,6,0,0.7
DM-55-3,1.0,,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C1=O,BRD-K81592585,A375,10.0,24,0,0.7
BRD-K28892486,1.0,,Cc1cccc(NS(=O)(=O)c2ccc3NC(=O)CCc3c2)c1,BRD-K28892486,A549,10.0,6,0,0.7
DMAB-anabaseine,1.0,,CN(C)c1ccc(cc1)\C=C1CCCN=C/1c1cccnc1,BRD-K26573499,HA1E,10.0,24,0,0.7
DMBA,1.0,,Cc1c2ccccc2c(C)c3c1ccc4ccccc43,BRD-K66090100,HA1E,10.0,24,0,0.7
DMBI,1.0,,CN(C)c1ccc(/C=C\2/C(=O)Nc3ccccc23)cc1,BRD-K96084870,MCF7,10.0,6,0,0.7
DMP-543,1.0,,Fc1cc(CC2(Cc3ccnc(F)c3)c3ccccc3C(=O)c3ccccc23)ccn1,BRD-K89274813,HA1E,10.0,24,0,0.7
DMeOB,1.0,,COc1cccc(C=NC=Nc2cccc(OC)c2)c1,BRD-K31699485,HA1E,10.0,24,0,0.7
DPO-1,1.0,,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1P(=O)(c1ccccc1)c1ccccc1,BRD-K99922388,A375,10.0,24,0,0.7
EBPC,1.0,,CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O,BRD-A96485169,HA1E,10.0,24,0,0.7
DPPE,1.0,,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1,BRD-K80315159,HA1E,10.0,24,0,0.7
DR-2313,1.0,,Cc1nc(=O)c2CSCCc2[nH]1,BRD-K94920105,A549,10.0,24,0,0.7
DUP-697,1.0,,CS(=O)(=O)c1ccc(cc1)-c1cc(Br)sc1-c1ccc(F)cc1,BRD-K06221026,PC3,10.0,24,0,0.7
DY-131,1.0,,CCN(CC)c1ccc(C=NNC(=O)c2ccc(O)cc2)cc1,BRD-K62353524,HA1E,10.0,24,0,0.7
BRD-K28800414,1.0,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4c(NC(=O)c5ccncc5)cccc4C1=O,BRD-K28800414,A549,10.0,6,0,0.7
BRD-K28789065,1.0,,Oc1ccccc1N2C(=O)/C(=C/c3ccc(Br)cc3)/C=C2c4ccccc4,BRD-K28789065,A549,10.0,6,0,0.7
BRD-K28782753,1.0,,COc1ccc2c3c([C@@H](CO)NC[C@]33CCN(CC3)S(=O)(=O)c3ccc(C)cc3)n(C)c2c1,BRD-K28782753,PC3,10.0374,24,0,0.7
DY-44,1.0,,C[C@@H]1ON([C@@H]([C@H]1C(=O)O)c2ccccc2)c3ccccc3,BRD-K72161580,A549,10.0,6,0,0.7
BRD-K28774715,1.0,,[O-][N+](=O)c1ccccc1C(=O)NNC(=O)c2csc(n2)N3CCOCC3,BRD-K28774715,A549,10.0,6,0,0.7
BRD-K28772322,1.0,,OC[C@@H]1[C@H]([C@H]2CNCC(=O)N12)c1ccc(Br)cc1,BRD-K28772322,PC3,5.0,24,0,0.7
E-4031,1.0,,Cc1cccc(CCN2CCC(CC2)C(=O)c2ccc(NS(C)(=O)=O)cc2)n1,BRD-K41713976,MCF7,10.0,6,0,0.7
CL-82198,1.0,,O=C(NCCCCN1CCOCC1)c2cc3ccccc3o2,BRD-K00675675,HA1E,10.0,24,0,0.7
CI-966,1.0,,OC(=O)C1=CCCN(CCOC(c2ccc(cc2)C(F)(F)F)c2ccc(cc2)C(F)(F)F)C1,BRD-K67680372,HA1E,10.0,24,0,0.7
CITCO,1.0,,Clc1ccc(cc1)-c1nc2sccn2c1\C=N\OCc1ccc(Cl)c(Cl)c1,BRD-K53263234,A375,10.0,24,0,0.7
CAM-9-021,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4c(C)noc4C)cc3C1=O,BRD-K05563014,MCF7,10.0,24,0,0.7
BRD-M06931697,1.0,,CCCNC(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(\C=C\C)c3=O)[C@H]2N1Cc1cccc(F)c1.CCCNC(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(\C=C/C)c3=O)[C@H]2N1Cc1cccc(F)c1,BRD-M06931697,PC3,10.0033,24,0,0.7
BRD-K29824954,1.0,,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccc(c2)C(=O)O)Oc3cc(C#CCC4CCCC4)ccc3S1(=O)=O,BRD-K29824954,VCAP,5.0,24,0,0.7
BRD-U32049204,1.0,,-666,BRD-U32049204,A549,10.0,6,0,0.7
BRD-U86222656,1.0,,-666,BRD-U86222656,A549,10.0,6,0,0.7
BRD-U88878891,1.0,,-666,BRD-U88878891,A375,10.0,24,0,0.7
BRL-15572,1.0,,OC(CN1CCN(CC1)c1cccc(Cl)c1)C(c1ccccc1)c1ccccc1,BRD-A51829654,HA1E,10.0,24,0,0.7
BRL-37344,1.0,,C[C@H](Cc1ccc(OCC(O)=O)cc1)NC[C@H](O)c1cccc(Cl)c1,BRD-K07507905,HA1E,10.0,24,0,0.7
BRL-50481,1.0,,CN(C)S(=O)(=O)c1cc(ccc1C)[N+]([O-])=O,BRD-K84266862,HA1E,10.0,24,0,0.7
BRL-52537,1.0,,Clc1ccc(CC(=O)N2CCCCC2CN2CCCC2)cc1Cl,BRD-A37347161,A375,10.0,24,0,0.7
BRL-54443,1.0,,CN1CCC(CC1)c1c[nH]c2ccc(O)cc12,BRD-K17868609,HA1E,10.0,24,0,0.7
BU-224,1.0,,C1CN=C(N1)c1ccc2ccccc2n1,BRD-K55344148,A375,10.0,24,0,0.7
BRD-K29767311,1.0,,Clc1cccc(c1)c2nc(C#N)c(NCC=C)o2,BRD-K29767311,A375,10.0,24,0,0.7
BU-226,1.0,,C1CN=C(N1)c2cc3ccccc3cn2,BRD-K56115039,A375,10.0,24,0,0.7
BU-239,1.0,,C1CN=C(N1)c1cnc2ccccc2n1,BRD-K11696279,HA1E,10.0,24,0,0.7
BVT-948,1.0,,CC1(C)C2C(=NC1=O)c3ccccc3C(=O)C2=O,BRD-A22713669,A375,10.0,24,0,0.7
BW-723C86,1.0,,CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,BRD-A17428743,HA1E,10.0,24,0,0.7
BW-B70C,1.0,,CC(C=Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(=O)N,BRD-A68891053,HA1E,10.0,24,0,0.7
BX-795,1.0,,Ic1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c1cccs1,BRD-K47983010,A375,10.0,24,0,0.7
BRD-K29715937,1.0,,Cc1ccc(cc1)c2c(C#N)c(N)n(c3ccc(Cl)cc3)c(=O)c2C#N,BRD-K29715937,A549,10.0,24,0,0.7
BX-912,1.0,,Brc1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCc1c[nH]cn1,BRD-K49669041,MCF7,10.0,6,0,0.7
BRD-K29702325,1.0,,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccncc2)Oc3cc(ccc3S1(=O)=O)C4=CCCC4,BRD-K29702325,VCAP,10.009,24,0,0.7
Broad-Sai-071,1.0,,-666,BRD-K28115298,A549,10.0,6,0,0.7
Broad-Sai-370,1.0,,-666,BRD-K83872150,MCF7,0.15625,24,0,0.7
Broad-Sai-595,1.0,,-666,BRD-K29107232,HA1E,0.078125,24,0,0.7
Broad-Sai-609,1.0,,-666,BRD-K24690302,MCF7,0.15625,24,0,0.7
BRD-K99994453,1.0,,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Cc2ccccc2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4,BRD-K99994453,VCAP,10.054,24,0,0.7
BRD-K99874282,1.0,,COCCNC(=O)C[C@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2C(=O)c2cc(Cl)cc(Cl)c2)O1,BRD-K99874282,VCAP,5.02,24,0,0.7
BRD-K99842945,1.0,,CN1[C@@H](CO)[C@H]2CCN([C@H]2c2cc(ccc12)C1=CCCCC1)C(=O)NC1CCCC1,BRD-K99842945,VCAP,10.1277,24,0,0.7
BRD-K99582188,1.0,,Clc1ccc(Cn2ncc3c(ncnc23)N2CCN(CC2)c2ccccc2)cc1,BRD-K99582188,A549,10.0,6,0,0.7
BRD-K99439802,1.0,,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccc(C)cc4)cc3C1=O,BRD-K99439802,PC3,10.0708,24,0,0.7
BRD-K99465084,1.0,,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O,BRD-K99465084,VCAP,10.0,6,0,0.7
BRD-K99469128,1.0,,COc1ccc2c3c([C@@H](CO)N(CC4CC4)C[C@]33CN(C3)C(=O)c3ccccc3)n(C)c2c1,BRD-K99469128,PC3,10.3666,24,0,0.7
BRD-K99475920,1.0,,COc1ccc(cc1NC(=O)c2cc3CCCCc3s2)S(=O)(=O)N4CCOCC4,BRD-K99475920,A375,10.0,24,0,0.7
BRD-K30094073,1.0,,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3CC1=O,BRD-K30094073,VCAP,10.547,24,0,0.7
